path_type,failure_bucket,trajectory_count,unique_eval_sample_count,final_answer_correct_count,reasoning_success_count,path_executable_rate,initial_heuristic_entropy_mean,final_heuristic_entropy_mean,mean_heuristic_entropy_mean,heuristic_entropy_delta_mean,heuristic_monotonicity_rate_mean,initial_learned_entropy_mean,final_learned_entropy_mean,mean_learned_entropy_mean,learned_entropy_delta_mean,learned_monotonicity_rate_mean
correct,answer_mismatch,8,8,0,8,1.0,0.778625,0.4091875,0.51933542,0.3694375,1.0,0.87091675,0.28919455,0.56564206,0.5817222,1.0
correct,correct,2,2,2,2,1.0,0.807,0.4215,0.55625,0.3855,1.0,0.83650482,0.30004377,0.55252535,0.53646105,1.0
correct,max_steps,2,2,0,0,1.0,0.755,0.484,0.549,0.271,1.0,0.94209712,0.29734912,0.60181065,0.644748,1.0
model,answer_mismatch,22,22,0,22,0.36363636,0.77813636,0.49006818,0.56770963,0.28806818,1.0,0.86945501,0.26432435,0.54424869,0.60513067,1.0
model,correct,3,3,3,3,0.66666667,0.80166667,0.53966667,0.632,0.262,1.0,0.8345945,0.3835423,0.59856911,0.4510522,1.0
model,max_steps,6,6,0,0,0.33333333,0.767,0.56333333,0.63297222,0.20366667,1.0,0.90004254,0.27642662,0.55928368,0.62361592,1.0
model,no_model,2,2,0,0,0.0,0.891,0.7405,0.83583334,0.1505,1.0,0.77075383,0.26523938,0.49652495,0.50551445,1.0
random,answer_mismatch,22,22,0,22,0.0,0.77813636,0.69879545,0.7378369,0.07934091,1.0,0.86945501,0.32649392,0.58908231,0.5429611,1.0
random,correct,3,3,3,3,0.0,0.80166667,0.78166667,0.79166667,0.02,1.0,0.8345945,0.46094848,0.64777149,0.37364602,1.0
random,max_steps,6,6,0,0,0.0,0.767,0.594,0.67641349,0.173,1.0,0.90004254,0.29697514,0.57659627,0.60306741,1.0
random,no_model,2,2,0,0,0.0,0.891,0.861,0.876,0.03,1.0,0.77075383,0.27492574,0.49975373,0.49582809,1.0
all_joined_trajectories,answer_mismatch,52,22,0,52,0.30769231,0.77821154,0.56593269,0.63224437,0.21227885,1.0,0.8696799,0.29445304,0.56650805,0.57522686,1.0
all_joined_trajectories,correct,8,3,8,8,0.5,0.803,0.600875,0.6729375,0.202125,1.0,0.83507208,0.39169498,0.60550906,0.44337709,1.0
all_joined_trajectories,max_steps,14,6,0,0,0.28571429,0.76528571,0.56514286,0.63959388,0.20014286,1.0,0.90605034,0.28822206,0.57277864,0.61782828,1.0
all_joined_trajectories,no_model,4,2,0,0,0.0,0.891,0.80075,0.85591667,0.09025,1.0,0.77075383,0.27008256,0.49813934,0.50067127,1.0
