path_type,outcome,metric,n,positive_count,negative_count,pearson,spearman,positive_mean,negative_mean,mean_diff_positive_minus_negative
correct,final_answer_correct,initial_heuristic_entropy,12,2,10,0.55960805,0.29834709,0.807,0.7739,0.0331
correct,final_answer_correct,final_heuristic_entropy,12,2,10,-0.01279488,0.06477503,0.4215,0.42415,-0.00265
correct,final_answer_correct,mean_heuristic_entropy,12,2,10,0.15459752,0.06477503,0.55625,0.52526833,0.03098167
correct,final_answer_correct,heuristic_entropy_delta,12,2,10,0.17367627,0.22750948,0.3855,0.34975,0.03575
correct,final_answer_correct,heuristic_monotonicity_rate,12,2,10,0.0,0.0,1.0,1.0,0.0
correct,final_answer_correct,initial_learned_entropy,12,2,10,-0.40283021,-0.51820022,0.83650482,0.88515282,-0.048648
correct,final_answer_correct,final_learned_entropy,12,2,10,0.01775452,-0.06477503,0.30004377,0.29082546,0.00921831
correct,final_answer_correct,mean_learned_entropy,12,2,10,-0.07181938,-0.06477503,0.55252535,0.57287578,-0.02035042
correct,final_answer_correct,learned_entropy_delta,12,2,10,-0.1081701,0.0,0.53646105,0.59432736,-0.05786631
correct,final_answer_correct,learned_monotonicity_rate,12,2,10,0.0,0.0,1.0,1.0,0.0
correct,reasoning_success,initial_heuristic_entropy,12,10,2,0.49536301,0.62984387,0.7843,0.755,0.0293
correct,reasoning_success,final_heuristic_entropy,12,10,2,-0.34932441,-0.12955006,0.41165,0.484,-0.07235
correct,reasoning_success,mean_heuristic_entropy,12,10,2,-0.1111848,-0.19432508,0.52671833,0.549,-0.02228167
correct,reasoning_success,heuristic_entropy_delta,12,10,2,0.49382356,0.65002709,0.37265,0.271,0.10165
correct,reasoning_success,heuristic_monotonicity_rate,12,10,2,0.0,0.0,1.0,1.0,0.0
correct,reasoning_success,initial_learned_entropy,12,10,2,-0.64639934,-0.58297525,0.86403436,0.94209712,-0.07806276
correct,reasoning_success,final_learned_entropy,12,10,2,-0.01152663,-0.19432508,0.29136439,0.29734912,-0.00598473
correct,reasoning_success,mean_learned_entropy,12,10,2,-0.13690196,-0.25910011,0.56301872,0.60181065,-0.03879193
correct,reasoning_success,learned_entropy_delta,12,10,2,-0.13473621,-0.12977714,0.57266997,0.644748,-0.07207803
correct,reasoning_success,learned_monotonicity_rate,12,10,2,0.0,0.0,1.0,1.0,0.0
model,final_answer_correct,initial_heuristic_entropy,33,3,30,0.12276071,0.25374408,0.80166667,0.78343333,0.01823333
model,final_answer_correct,final_heuristic_entropy,33,3,30,0.0288232,0.05535093,0.53966667,0.52141667,0.01825
model,final_answer_correct,mean_heuristic_entropy,33,3,30,0.06492473,0.0774913,0.632,0.59863706,0.03336294
model,final_answer_correct,heuristic_entropy_delta,33,3,30,-2.892e-05,0.02217003,0.262,0.26201667,-1.667e-05
model,final_answer_correct,heuristic_monotonicity_rate,33,3,30,0.0,0.0,1.0,1.0,0.0
model,final_answer_correct,initial_learned_entropy,33,3,30,-0.17063904,-0.18822462,0.8345945,0.86899244,-0.03439794
model,final_answer_correct,final_learned_entropy,33,3,30,0.15232743,0.1720919,0.3835423,0.2668058,0.11673649
model,final_answer_correct,mean_learned_entropy,33,3,30,0.11538692,0.14391242,0.59856911,0.5440741,0.054495
model,final_answer_correct,learned_entropy_delta,33,3,30,-0.18734002,-0.22149628,0.4510522,0.60218664,-0.15113443
model,final_answer_correct,learned_monotonicity_rate,33,3,30,0.0,0.0,1.0,1.0,0.0
model,reasoning_success,initial_heuristic_entropy,33,25,8,-0.17102384,0.10969521,0.78096,0.798,-0.01704
model,reasoning_success,final_heuristic_entropy,33,25,8,-0.26275846,-0.28961816,0.49602,0.607625,-0.111605
model,reasoning_success,mean_heuristic_entropy,33,25,8,-0.31406518,-0.28961816,0.57542448,0.6836875,-0.10826302
model,reasoning_success,heuristic_entropy_delta,33,25,8,0.24460673,0.31603232,0.28494,0.190375,0.094565
