group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,50,36,0.72,13,0.26,0.3611111111111111,88,0.06818181818181818,0.1590909090909091,0.3409090909090909
by_curve_type,Circle,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Ellipse,16,12,0.75,5,0.3125,0.4166666666666667,24,0.125,0.125,0.2916666666666667
by_curve_type,Hyperbola,20,20,1.0,7,0.35,0.35,25,0.08,0.28,0.6
by_curve_type,Other,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Parabola,12,3,0.25,1,0.08333333333333333,0.3333333333333333,39,0.02564102564102564,0.10256410256410256,0.20512820512820512
by_query_type,Coordinate,2,1,0.5,1,0.5,1.0,9,0.1111111111111111,0.1111111111111111,0.2222222222222222
by_query_type,Distance,5,2,0.4,0,0.0,0.0,9,0.0,0.1111111111111111,0.2222222222222222
by_query_type,Eccentricity,11,10,0.9090909090909091,1,0.09090909090909091,0.1,11,0.0,0.2727272727272727,0.6363636363636364
by_query_type,Equation,9,8,0.8888888888888888,6,0.6666666666666666,0.75,12,0.0,0.0,0.25
by_query_type,Length,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_query_type,Range,4,4,1.0,2,0.5,0.5,7,0.14285714285714285,0.14285714285714285,0.42857142857142855
by_query_type,Value,18,11,0.6111111111111112,3,0.16666666666666666,0.2727272727272727,40,0.1,0.2,0.325
by_failure_reason,answer_mismatch,23,23,1.0,0,0.0,0.0,33,0.030303030303030304,0.15151515151515152,0.42424242424242425
by_failure_reason,max_steps,13,0,0.0,0,0.0,0.0,36,0.05555555555555555,0.1388888888888889,0.25
by_failure_reason,no_model,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,0,5,3,0.6,1,0.2,0.3333333333333333,5,0.6,0.6,0.8
by_model_id,1,6,6,1.0,1,0.16666666666666666,0.16666666666666666,10,0.0,0.4,0.6
by_model_id,13,11,10,0.9090909090909091,1,0.09090909090909091,0.1,17,0.0,0.0,0.23529411764705882
by_model_id,2,3,0,0.0,0,0.0,0.0,8,0.0,0.125,0.125
by_model_id,21,8,8,1.0,3,0.375,0.375,7,0.0,0.14285714285714285,0.5714285714285714
by_model_id,29,7,0,0.0,0,0.0,0.0,24,0.0,0.125,0.20833333333333334
by_model_id,42,1,0,0.0,0,0.0,0.0,3,0.0,0.0,0.3333333333333333
by_model_id,43,1,0,0.0,0,0.0,0.0,3,0.0,0.0,0.3333333333333333
by_model_id,47,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,53,2,1,0.5,1,0.5,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_model_id,54,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,56,3,1,0.3333333333333333,0,0.0,0.0,9,0.2222222222222222,0.2222222222222222,0.3333333333333333
by_model_id,62,8,5,0.625,1,0.125,0.2,18,0.0,0.0,0.1111111111111111
by_model_id,63,3,3,1.0,2,0.6666666666666666,0.6666666666666666,7,0.0,0.0,0.0
by_model_id,65,4,4,1.0,3,0.75,0.75,7,0.2857142857142857,0.2857142857142857,0.5714285714285714
by_model_id,78,1,0,0.0,0,0.0,0.0,4,0.0,0.25,0.5
