group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,200,147,0.735,5,0.025,0.034013605442176874,374,0.10962566844919786,0.2700534759358289,0.3689839572192513
by_curve_type,Circle,5,1,0.2,0,0.0,0.0,11,0.09090909090909091,0.2727272727272727,0.45454545454545453
by_curve_type,Ellipse,58,40,0.6896551724137931,1,0.017241379310344827,0.025,84,0.10714285714285714,0.17857142857142858,0.2976190476190476
by_curve_type,Hyperbola,72,57,0.7916666666666666,2,0.027777777777777776,0.03508771929824561,88,0.1590909090909091,0.3977272727272727,0.5113636363636364
by_curve_type,Other,9,3,0.3333333333333333,0,0.0,0.0,11,0.09090909090909091,0.36363636363636365,0.36363636363636365
by_curve_type,Parabola,56,46,0.8214285714285714,2,0.03571428571428571,0.043478260869565216,180,0.08888888888888889,0.24444444444444444,0.3277777777777778
by_query_type,Area,6,3,0.5,0,0.0,0.0,19,0.10526315789473684,0.10526315789473684,0.2631578947368421
by_query_type,Coordinate,11,1,0.09090909090909091,0,0.0,0.0,30,0.13333333333333333,0.3,0.4
by_query_type,Distance,7,6,0.8571428571428571,0,0.0,0.0,15,0.0,0.06666666666666667,0.2
by_query_type,Eccentricity,40,31,0.775,1,0.025,0.03225806451612903,47,0.14893617021276595,0.2765957446808511,0.3617021276595745
by_query_type,Equation,43,24,0.5581395348837209,0,0.0,0.0,69,0.11594202898550725,0.2608695652173913,0.37681159420289856
by_query_type,Length,6,4,0.6666666666666666,2,0.3333333333333333,0.5,12,0.0,0.25,0.25
by_query_type,Range,16,14,0.875,0,0.0,0.0,20,0.05,0.1,0.25
by_query_type,Value,71,64,0.9014084507042254,2,0.028169014084507043,0.03125,162,0.11728395061728394,0.3271604938271605,0.41358024691358025
by_failure_reason,answer_mismatch,142,142,1.0,0,0.0,0.0,261,0.09961685823754789,0.26436781609195403,0.36398467432950193
by_failure_reason,max_steps,42,0,0.0,0,0.0,0.0,107,0.14018691588785046,0.2803738317757009,0.38317757009345793
by_failure_reason,no_model,11,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,0,18,5,0.2777777777777778,0,0.0,0.0,34,0.23529411764705882,0.3235294117647059,0.4411764705882353
by_model_id,1,22,17,0.7727272727272727,0,0.0,0.0,28,0.10714285714285714,0.4642857142857143,0.5357142857142857
by_model_id,13,42,35,0.8333333333333334,1,0.023809523809523808,0.02857142857142857,55,0.01818181818181818,0.09090909090909091,0.23636363636363636
by_model_id,14,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,2,20,18,0.9,0,0.0,0.0,69,0.07246376811594203,0.2753623188405797,0.3188405797101449
by_model_id,21,29,26,0.896551724137931,2,0.06896551724137931,0.07692307692307693,27,0.0,0.2962962962962963,0.4444444444444444
by_model_id,24,2,2,1.0,0,0.0,0.0,10,0.4,0.5,0.5
by_model_id,29,39,37,0.9487179487179487,1,0.02564102564102564,0.02702702702702703,134,0.09701492537313433,0.2835820895522388,0.3582089552238806
by_model_id,42,6,4,0.6666666666666666,0,0.0,0.0,25,0.04,0.2,0.36
by_model_id,43,5,4,0.8,0,0.0,0.0,20,0.05,0.15,0.35
by_model_id,47,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,53,5,3,0.6,0,0.0,0.0,8,0.125,0.25,0.25
by_model_id,54,5,1,0.2,0,0.0,0.0,8,0.125,0.375,0.5
by_model_id,56,14,4,0.2857142857142857,0,0.0,0.0,38,0.18421052631578946,0.2631578947368421,0.3684210526315789
by_model_id,62,42,26,0.6190476190476191,2,0.047619047619047616,0.07692307692307693,120,0.09166666666666666,0.20833333333333334,0.275
by_model_id,63,12,11,0.9166666666666666,0,0.0,0.0,21,0.09523809523809523,0.3333333333333333,0.3333333333333333
by_model_id,65,10,10,1.0,0,0.0,0.0,14,0.35714285714285715,0.5,0.7142857142857143
by_model_id,75,2,1,0.5,0,0.0,0.0,6,0.16666666666666666,0.6666666666666666,0.6666666666666666
by_model_id,78,3,3,1.0,0,0.0,0.0,17,0.058823529411764705,0.23529411764705882,0.35294117647058826
by_model_id,79,1,0,0.0,0,0.0,0.0,7,0.2857142857142857,0.2857142857142857,0.2857142857142857
by_model_id,9,2,1,0.5,0,0.0,0.0,10,0.3,0.3,0.3
