matrix,before,after,count
final_answer_correct,wrong,wrong,177
final_answer_correct,wrong,correct,18
final_answer_correct,correct,correct,3
final_answer_correct,correct,wrong,2
reasoning_success,success,success,112
reasoning_success,failure,failure,35
reasoning_success,success,failure,35
reasoning_success,failure,success,18
failure_reason,answer_mismatch,answer_mismatch,96
failure_reason,answer_mismatch,max_steps,33
failure_reason,max_steps,max_steps,24
failure_reason,answer_mismatch,none,13
failure_reason,max_steps,answer_mismatch,13
failure_reason,no_model,no_model,11
failure_reason,max_steps,none,5
failure_reason,none,none,3
failure_reason,none,max_steps,2
reasoning_failure_reason,none,none,112
reasoning_failure_reason,none,max_steps,35
reasoning_failure_reason,max_steps,max_steps,24
reasoning_failure_reason,max_steps,none,18
reasoning_failure_reason,no_model,no_model,11
query_type,Value,Value,71
query_type,Equation,Equation,43
query_type,Eccentricity,Eccentricity,40
query_type,Range,Range,16
query_type,Coordinate,Coordinate,11
query_type,Distance,Distance,7
query_type,Area,Area,6
query_type,Length,Length,6
curve_type,Hyperbola,Hyperbola,72
curve_type,Ellipse,Ellipse,58
curve_type,Parabola,Parabola,56
curve_type,Other,Other,9
curve_type,Circle,Circle,5
first_model,21,21,29
first_model,13,13,28
first_model,1,1,21
first_model,2,2,20
first_model,29,29,18
first_model,0,0,17
first_model,62,62,12
first_model,none,none,11
first_model,65,65,10
first_model,56,56,7
first_model,63,63,5
first_model,42,42,4
first_model,53,53,4
first_model,54,54,4
first_model,78,78,3
first_model,24,24,2
first_model,75,75,2
first_model,9,9,2
first_model,47,47,1
last_model,13,13,42
last_model,62,62,41
last_model,21,21,26
last_model,29,29,25
last_model,1,1,18
last_model,none,none,11
last_model,0,0,9
last_model,63,63,9
last_model,65,65,7
last_model,56,56,6
last_model,24,24,2
last_model,43,43,2
last_model,47,47,1
last_model,53,53,1
num_steps_delta,delta,0,200
