sample_id,after_curve_type,after_query_type,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
2207,Parabola,Value,answer_mismatch,none,none,none,15,15,13,"Abs(LineSegmentOf(P,F))",13,"Abs(LineSegmentOf(P,F))","G: Parabola;P: Point;F: Point;Expression(G) = (y^2 = 16*x);PointOnCurve(P, G);Distance(P, xAxis) = 12;Focus(G)=F;Distance(P,F)=Abs(LineSegmentOf(P,F))",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
1788,Ellipse,Value,answer_mismatch,none,none,none,15,15,1,k: Real,1,k,"G: Ellipse;k: Real;Expression(G) = (k*y^2 + 5*x^2 = 5);Coordinate(OneOf(Focus(G))) = (0, 2)",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7714,Parabola,Value,max_steps,none,max_steps,none,15,15,8,"Abs(LineSegmentOf(A, B)) not found",8,"Abs(LineSegmentOf(A, B))","l: Line;C: Parabola;A: Point;B: Point;F: Point;Expression(C) = (y^2 = 4*x);Focus(C) = F;Expression(l) = (y = x - 1);Intersection(l, C) = {A, B}",29 29 29 29 29 29 29 29 29 62 62 62 62 62 62,29 29 29 29 29 29 29 29 29 62 62 62 62 62 62
7184,Parabola,Value,max_steps,none,max_steps,none,15,15,6,Min not found,6,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;Expression(G) = (x^2 = 8*y);P: Point;PointOnCurve(P, G);A: Point;Coordinate(A) = (-2, 4);F: Point;Focus(G) = F",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
6177,Parabola,Value,max_steps,none,max_steps,none,15,15,6,"Abs(LineSegmentOf(P, F)) not found",6,"Abs(LineSegmentOf(P, F))","G: Parabola;P: Point;F: Point;Expression(G) = (y^2 = 8*x);Focus(G) = F;PointOnCurve(P, G);XCoordinate(P)=4",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
5711,Parabola,Value,max_steps,none,max_steps,none,15,15,7,Min not found,7,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;P: Point;A: Point;F: Point;Expression(G) = (y^2 = 4*x);Coordinate(A) = (6, 3);Focus(G) = F;PointOnCurve(P, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
3858,Parabola,Value,max_steps,none,max_steps,none,15,15,6,Min not found,6,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;A: Point;P: Point;F: Point;Expression(G) = (x^2 = 4*y);Coordinate(A) = (-1, 5);Focus(G) = F;PointOnCurve(P, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
3783,Parabola,Value,max_steps,none,max_steps,none,15,15,4*sqrt(2),"Abs(LineSegmentOf(A, B)) not found",4*sqrt(2),"Abs(LineSegmentOf(A, B))","G: Parabola;B: Point;A: Point;M: Point;Expression(G) = (x^2 = 4*y);Coordinate(M) = (2, 2);PointOnCurve(A, G);PointOnCurve(B, G);MidPoint(LineSegmentOf(A,B)) = M",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
2252,Parabola,Value,max_steps,none,max_steps,none,15,15,2,Slope not found,2,"Slope(OverlappingLine(LineSegmentOf(A, B)))","G: Parabola;Expression(G) = (y^2 = 4*x);A: Point;B: Point;IsChordOf(LineSegmentOf(A, B), G) = True;P: Point;Coordinate(P) = (1, 1);MidPoint(LineSegmentOf(A, B)) = P",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
959,Parabola,Value,max_steps,none,max_steps,none,15,15,9,Min not found,9,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;Expression(G) = (x^2 = 4*y);F: Point;Focus(G) = F;A: Point;Coordinate(A) = (-1, 8);P: Point;PointOnCurve(P, G) = True",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
852,Parabola,Value,max_steps,none,max_steps,none,15,15,p/y0,Slope not found,p/y0,"Slope(LineOf(P, Q))","G: Parabola;Expression(G) = (y^2 = 2*(p*x));p: Number;p>0;P: Point;Q: Point;IsChordOf(LineSegmentOf(P, Q), G);x0: Number;y0: Number;Negation(y0=0);M: Point;Coordinate(M) = (x0, y0);MidPoint(LineSegmentOf(P, Q)) = M",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
780,Parabola,Value,max_steps,none,max_steps,none,15,15,pm*1,Slope not found,pm*1,Slope(l),"l: Line;G: Parabola;A: Point;B: Point;F: Point;M: Point;Expression(G) = (y^2 = 8*x);Focus(G) = F;PointOnCurve(F, l);Intersection(l, G) = {A, B};MidPoint(LineSegmentOf(A, B)) = M;Distance(M, Directrix(G)) = 8",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
360,Parabola,Value,max_steps,none,max_steps,none,15,15,2,LineSegmentOf not found,2,"LineSegmentOf(F, R)","C: Parabola;P: Point;Q: Point;F: Point;M: Point;N: Point;R: Point;l: Line;Expression(C) = (y^2 = 4*x);Focus(C) = F;Directrix(C) = l;PointOnCurve(P, C);IsPerpendicular(LineSegmentOf(P,Q),l);FootPoint(LineSegmentOf(P,Q),l)=Q;MidPoint(LineSegmentOf(P,Q))=M;MidPoint(LineSegmentOf(P,F))=N;Intersection(LineSegmentOf(M,N),xAxis)=R;AngleOf(N, R, F) = ApplyUnit(60, degree)",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
