matrix,before,after,count
final_answer_correct,wrong,wrong,453
final_answer_correct,correct,correct,34
final_answer_correct,wrong,correct,13
reasoning_success,success,success,319
reasoning_success,failure,failure,163
reasoning_success,failure,success,18
failure_reason,answer_mismatch,answer_mismatch,283
failure_reason,max_steps,max_steps,133
failure_reason,none,none,34
failure_reason,no_model,no_model,30
failure_reason,max_steps,none,11
failure_reason,no_model,answer_mismatch,4
failure_reason,max_steps,answer_mismatch,3
failure_reason,answer_mismatch,none,2
reasoning_failure_reason,none,none,319
reasoning_failure_reason,max_steps,max_steps,133
reasoning_failure_reason,no_model,no_model,30
reasoning_failure_reason,max_steps,none,14
reasoning_failure_reason,no_model,none,4
query_type,Value,Value,159
query_type,Equation,Equation,131
query_type,Eccentricity,Eccentricity,83
query_type,Range,Range,38
query_type,Area,Area,27
query_type,Coordinate,Coordinate,27
query_type,Distance,Distance,22
query_type,Length,Length,13
curve_type,Hyperbola,Hyperbola,177
curve_type,Parabola,Parabola,148
curve_type,Ellipse,Ellipse,143
curve_type,Other,Other,21
curve_type,Circle,Circle,11
first_model,21,21,68
first_model,1,1,67
first_model,13,13,67
first_model,2,2,47
first_model,29,29,45
first_model,none,none,30
first_model,0,0,29
first_model,62,62,27
first_model,65,65,25
first_model,42,42,18
first_model,56,56,17
first_model,63,63,14
first_model,53,53,9
first_model,54,54,9
first_model,75,75,6
first_model,78,78,4
first_model,9,9,4
first_model,none,1,4
first_model,24,24,3
first_model,0,63,1
first_model,29,42,1
first_model,47,47,1
first_model,62,54,1
first_model,63,0,1
first_model,63,54,1
first_model,65,1,1
last_model,62,62,103
last_model,13,13,93
last_model,21,21,65
last_model,29,29,51
last_model,1,1,46
last_model,none,none,30
last_model,63,63,27
last_model,0,0,19
last_model,56,56,19
last_model,65,65,16
last_model,43,43,10
last_model,24,24,6
last_model,none,1,4
last_model,42,42,2
last_model,53,53,2
last_model,75,75,2
last_model,2,2,1
last_model,47,47,1
last_model,63,43,1
last_model,63,54,1
last_model,65,56,1
num_steps_delta,delta,0,496
num_steps_delta,delta,8,3
num_steps_delta,delta,15,1
