group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,500,337,0.674,47,0.094,0.1394658753709199,893,0.11646136618141098,0.2698768197088466,0.3628219484882419
by_curve_type,Circle,11,9,0.8181818181818182,0,0.0,0.0,30,0.03333333333333333,0.2,0.3333333333333333
by_curve_type,Ellipse,143,117,0.8181818181818182,18,0.1258741258741259,0.15384615384615385,177,0.096045197740113,0.1807909604519774,0.3163841807909605
by_curve_type,Hyperbola,177,139,0.7853107344632768,14,0.07909604519774012,0.10071942446043165,239,0.1589958158995816,0.3598326359832636,0.4686192468619247
by_curve_type,Other,21,6,0.2857142857142857,0,0.0,0.0,20,0.05,0.2,0.2
by_curve_type,Parabola,148,66,0.44594594594594594,15,0.10135135135135136,0.22727272727272727,427,0.11007025761124122,0.2646370023419204,0.3325526932084309
by_query_type,Area,27,11,0.4074074074074074,0,0.0,0.0,86,0.09302325581395349,0.20930232558139536,0.313953488372093
by_query_type,Coordinate,27,4,0.14814814814814814,3,0.1111111111111111,0.75,56,0.10714285714285714,0.26785714285714285,0.375
by_query_type,Distance,22,12,0.5454545454545454,2,0.09090909090909091,0.16666666666666666,55,0.16363636363636364,0.32727272727272727,0.38181818181818183
by_query_type,Eccentricity,83,71,0.8554216867469879,7,0.08433734939759036,0.09859154929577464,106,0.1509433962264151,0.3113207547169811,0.4339622641509434
by_query_type,Equation,131,107,0.816793893129771,11,0.08396946564885496,0.102803738317757,168,0.13095238095238096,0.2619047619047619,0.35119047619047616
by_query_type,Length,13,9,0.6923076923076923,3,0.23076923076923078,0.3333333333333333,18,0.05555555555555555,0.2777777777777778,0.3333333333333333
by_query_type,Range,38,17,0.4473684210526316,4,0.10526315789473684,0.23529411764705882,51,0.058823529411764705,0.17647058823529413,0.39215686274509803
by_query_type,Value,159,106,0.6666666666666666,17,0.1069182389937107,0.16037735849056603,353,0.11048158640226628,0.2804532577903683,0.35127478753541075
by_failure_reason,answer_mismatch,290,290,1.0,0,0.0,0.0,429,0.11655011655011654,0.25874125874125875,0.3473193473193473
by_failure_reason,max_steps,133,0,0.0,0,0.0,0.0,399,0.10526315789473684,0.2656641604010025,0.3684210526315789
by_failure_reason,no_model,30,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,0,34,19,0.5588235294117647,5,0.14705882352941177,0.2631578947368421,63,0.2222222222222222,0.3492063492063492,0.5079365079365079
by_model_id,1,74,55,0.7432432432432432,1,0.013513513513513514,0.01818181818181818,127,0.15748031496062992,0.3779527559055118,0.44881889763779526
by_model_id,13,93,75,0.8064516129032258,9,0.0967741935483871,0.12,127,0.031496062992125984,0.13385826771653545,0.2677165354330709
by_model_id,14,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,19,2,0,0.0,0,0.0,0.0,10,0.1,0.2,0.3
by_model_id,2,47,20,0.425531914893617,5,0.10638297872340426,0.25,155,0.12258064516129032,0.3225806451612903,0.36129032258064514
by_model_id,21,69,66,0.9565217391304348,9,0.13043478260869565,0.13636363636363635,56,0.0,0.19642857142857142,0.35714285714285715
by_model_id,24,6,5,0.8333333333333334,0,0.0,0.0,25,0.28,0.44,0.48
by_model_id,29,88,45,0.5113636363636364,12,0.13636363636363635,0.26666666666666666,294,0.11564625850340136,0.30272108843537415,0.35374149659863946
by_model_id,42,23,9,0.391304347826087,1,0.043478260869565216,0.1111111111111111,71,0.04225352112676056,0.18309859154929578,0.323943661971831
by_model_id,43,20,6,0.3,0,0.0,0.0,67,0.029850746268656716,0.13432835820895522,0.31343283582089554
by_model_id,47,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,53,11,5,0.45454545454545453,1,0.09090909090909091,0.2,16,0.1875,0.25,0.3125
by_model_id,54,14,12,0.8571428571428571,0,0.0,0.0,28,0.17857142857142858,0.35714285714285715,0.39285714285714285
by_model_id,56,37,18,0.4864864864864865,1,0.02702702702702703,0.05555555555555555,97,0.17525773195876287,0.27835051546391754,0.35051546391752575
by_model_id,62,105,61,0.580952380952381,6,0.05714285714285714,0.09836065573770492,275,0.08363636363636363,0.2109090909090909,0.2909090909090909
by_model_id,63,33,27,0.8181818181818182,6,0.18181818181818182,0.2222222222222222,68,0.1323529411764706,0.2647058823529412,0.3235294117647059
by_model_id,65,25,14,0.56,5,0.2,0.35714285714285715,37,0.2972972972972973,0.43243243243243246,0.5945945945945946
by_model_id,75,6,4,0.6666666666666666,0,0.0,0.0,18,0.05555555555555555,0.3888888888888889,0.4444444444444444
by_model_id,78,5,4,0.8,0,0.0,0.0,21,0.09523809523809523,0.2857142857142857,0.38095238095238093
by_model_id,79,1,1,1.0,0,0.0,0.0,7,0.2857142857142857,0.2857142857142857,0.2857142857142857
by_model_id,9,4,4,1.0,0,0.0,0.0,14,0.21428571428571427,0.2857142857142857,0.2857142857142857
