group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,7624,4971,0.6520199370409234,453,0.05941762854144806,0.09112854556427279,13578,0.12152010605391074,0.263219914567683,0.3552069524230373
by_curve_type,Circle,104,65,0.625,0,0.0,0.0,266,0.06766917293233082,0.13909774436090225,0.3157894736842105
by_curve_type,Ellipse,2392,1868,0.7809364548494984,142,0.05936454849498328,0.07601713062098502,3299,0.10215216732343134,0.19702940284934828,0.28190360715368296
by_curve_type,Hyperbola,2650,2103,0.7935849056603773,219,0.08264150943396227,0.10413694721825963,3335,0.16581709145427287,0.3472263868065967,0.4668665667166417
by_curve_type,Other,310,129,0.4161290322580645,0,0.0,0.0,561,0.10873440285204991,0.23885918003565063,0.3511586452762923
by_curve_type,Parabola,2168,806,0.37177121771217714,92,0.042435424354243544,0.1141439205955335,6117,0.11132908288376656,0.2607487330390714,0.3359489946051986
by_query_type,Area,298,111,0.3724832214765101,0,0.0,0.0,910,0.11208791208791209,0.26263736263736265,0.36813186813186816
by_query_type,Coordinate,400,94,0.235,49,0.1225,0.5212765957446809,730,0.15342465753424658,0.31232876712328766,0.40821917808219177
by_query_type,Distance,526,247,0.4695817490494297,17,0.03231939163498099,0.06882591093117409,1183,0.16737109044801352,0.3440405748098056,0.4167371090448014
by_query_type,Eccentricity,1210,1067,0.8818181818181818,101,0.0834710743801653,0.09465791940018745,1278,0.14710485133020346,0.3161189358372457,0.4460093896713615
by_query_type,Equation,1699,1392,0.8193054738081225,49,0.028840494408475574,0.035201149425287355,2454,0.1267318663406683,0.2404237978810106,0.3345558272208639
by_query_type,Length,299,146,0.4882943143812709,16,0.05351170568561873,0.1095890410958904,536,0.08395522388059702,0.27798507462686567,0.36007462686567165
by_query_type,Range,478,239,0.5,57,0.1192468619246862,0.2384937238493724,911,0.08122941822173436,0.20965971459934138,0.3194291986827662
by_query_type,Value,2714,1675,0.6171702284450995,164,0.0604274134119381,0.09791044776119404,5576,0.11119081779053085,0.24497847919655666,0.3267575322812052
by_failure_reason,answer_mismatch,4518,4518,1.0,0,0.0,0.0,6130,0.11680261011419249,0.25774877650897227,0.3504078303425775
by_failure_reason,exception,14,0,0.0,0,0.0,0.0,25,0.16,0.2,0.28
by_failure_reason,max_steps,2351,0,0.0,0,0.0,0.0,6826,0.11822443598007618,0.2579841781423967,0.35071784353940816
by_failure_reason,no_model,288,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,0,529,270,0.5103969754253308,29,0.054820415879017016,0.10740740740740741,1078,0.22170686456400743,0.3738404452690167,0.46938775510204084
