group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,200,140,0.7,33,0.165,0.2357142857142857,374,0.10962566844919786,0.2700534759358289,0.3689839572192513
by_curve_type,Circle,5,4,0.8,0,0.0,0.0,11,0.09090909090909091,0.2727272727272727,0.45454545454545453
by_curve_type,Ellipse,58,42,0.7241379310344828,9,0.15517241379310345,0.21428571428571427,84,0.10714285714285714,0.17857142857142858,0.2976190476190476
by_curve_type,Hyperbola,72,62,0.8611111111111112,12,0.16666666666666666,0.1935483870967742,88,0.1590909090909091,0.3977272727272727,0.5113636363636364
by_curve_type,Other,9,3,0.3333333333333333,0,0.0,0.0,11,0.09090909090909091,0.36363636363636365,0.36363636363636365
by_curve_type,Parabola,56,29,0.5178571428571429,12,0.21428571428571427,0.41379310344827586,180,0.08888888888888889,0.24444444444444444,0.3277777777777778
by_query_type,Area,6,2,0.3333333333333333,0,0.0,0.0,19,0.10526315789473684,0.10526315789473684,0.2631578947368421
by_query_type,Coordinate,11,2,0.18181818181818182,2,0.18181818181818182,1.0,30,0.13333333333333333,0.3,0.4
by_query_type,Distance,7,3,0.42857142857142855,0,0.0,0.0,15,0.0,0.06666666666666667,0.2
by_query_type,Eccentricity,40,35,0.875,5,0.125,0.14285714285714285,47,0.14893617021276595,0.2765957446808511,0.3617021276595745
by_query_type,Equation,43,34,0.7906976744186046,7,0.16279069767441862,0.20588235294117646,69,0.11594202898550725,0.2608695652173913,0.37681159420289856
by_query_type,Length,6,4,0.6666666666666666,2,0.3333333333333333,0.5,12,0.0,0.25,0.25
by_query_type,Range,16,10,0.625,2,0.125,0.2,20,0.05,0.1,0.25
by_query_type,Value,71,50,0.704225352112676,15,0.2112676056338028,0.3,162,0.11728395061728394,0.3271604938271605,0.41358024691358025
by_failure_reason,answer_mismatch,107,107,1.0,0,0.0,0.0,179,0.12290502793296089,0.2737430167597765,0.3687150837988827
by_failure_reason,max_steps,49,0,0.0,0,0.0,0.0,143,0.08391608391608392,0.24475524475524477,0.35664335664335667
by_failure_reason,no_model,11,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,0,18,9,0.5,3,0.16666666666666666,0.3333333333333333,34,0.23529411764705882,0.3235294117647059,0.4411764705882353
by_model_id,1,22,20,0.9090909090909091,1,0.045454545454545456,0.05,28,0.10714285714285714,0.4642857142857143,0.5357142857142857
by_model_id,13,42,33,0.7857142857142857,3,0.07142857142857142,0.09090909090909091,55,0.01818181818181818,0.09090909090909091,0.23636363636363636
by_model_id,14,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,2,20,8,0.4,4,0.2,0.5,69,0.07246376811594203,0.2753623188405797,0.3188405797101449
by_model_id,21,29,27,0.9310344827586207,8,0.27586206896551724,0.2962962962962963,27,0.0,0.2962962962962963,0.4444444444444444
by_model_id,24,2,2,1.0,0,0.0,0.0,10,0.4,0.5,0.5
by_model_id,29,39,21,0.5384615384615384,9,0.23076923076923078,0.42857142857142855,134,0.09701492537313433,0.2835820895522388,0.3582089552238806
by_model_id,42,6,2,0.3333333333333333,0,0.0,0.0,25,0.04,0.2,0.36
by_model_id,43,5,2,0.4,0,0.0,0.0,20,0.05,0.15,0.35
by_model_id,47,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,53,5,3,0.6,1,0.2,0.3333333333333333,8,0.125,0.25,0.25
by_model_id,54,6,4,0.6666666666666666,0,0.0,0.0,13,0.15384615384615385,0.3076923076923077,0.38461538461538464
by_model_id,56,14,5,0.35714285714285715,0,0.0,0.0,38,0.18421052631578946,0.2631578947368421,0.3684210526315789
by_model_id,62,42,28,0.6666666666666666,6,0.14285714285714285,0.21428571428571427,120,0.09166666666666666,0.20833333333333334,0.275
by_model_id,63,12,12,1.0,3,0.25,0.25,21,0.09523809523809523,0.3333333333333333,0.3333333333333333
by_model_id,65,10,8,0.8,3,0.3,0.375,14,0.35714285714285715,0.5,0.7142857142857143
by_model_id,75,2,1,0.5,0,0.0,0.0,6,0.16666666666666666,0.6666666666666666,0.6666666666666666
by_model_id,78,3,2,0.6666666666666666,0,0.0,0.0,17,0.058823529411764705,0.23529411764705882,0.35294117647058826
by_model_id,79,1,1,1.0,0,0.0,0.0,7,0.2857142857142857,0.2857142857142857,0.2857142857142857
by_model_id,9,2,2,1.0,0,0.0,0.0,10,0.3,0.3,0.3
