group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,50,43,0.86,13,0.26,0.3023255813953488,86,0.23255813953488372,0.4186046511627907,0.5465116279069767
by_curve_type,Circle,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Ellipse,16,12,0.75,5,0.3125,0.4166666666666667,23,0.13043478260869565,0.5217391304347826,0.6956521739130435
by_curve_type,Hyperbola,20,20,1.0,7,0.35,0.35,23,0.13043478260869565,0.2608695652173913,0.34782608695652173
by_curve_type,Other,1,0,0.0,0,0.0,0.0,2,0.0,0.0,0.5
by_curve_type,Parabola,12,10,0.8333333333333334,1,0.08333333333333333,0.1,38,0.3684210526315789,0.47368421052631576,0.5789473684210527
by_query_type,Coordinate,2,1,0.5,1,0.5,1.0,9,0.2222222222222222,0.5555555555555556,0.6666666666666666
by_query_type,Distance,5,4,0.8,0,0.0,0.0,8,0.5,0.75,0.875
by_query_type,Eccentricity,11,10,0.9090909090909091,1,0.09090909090909091,0.1,11,0.09090909090909091,0.18181818181818182,0.2727272727272727
by_query_type,Equation,9,9,1.0,6,0.6666666666666666,0.6666666666666666,10,0.1,0.2,0.5
by_query_type,Length,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_query_type,Range,4,4,1.0,2,0.5,0.5,7,0.2857142857142857,0.7142857142857143,0.7142857142857143
by_query_type,Value,18,15,0.8333333333333334,3,0.16666666666666666,0.2,41,0.24390243902439024,0.3902439024390244,0.5121951219512195
by_failure_reason,answer_mismatch,30,30,1.0,0,0.0,0.0,55,0.21818181818181817,0.36363636363636365,0.4909090909090909
by_failure_reason,max_steps,1,0,0.0,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_failure_reason,no_model,6,0,0.0,0,0.0,0.0,8,0.5,0.625,0.75
by_model_id,0,12,8,0.6666666666666666,4,0.3333333333333333,0.5,16,0.125,0.375,0.625
by_model_id,1,8,8,1.0,2,0.25,0.25,9,0.1111111111111111,0.2222222222222222,0.4444444444444444
by_model_id,11,4,3,0.75,1,0.25,0.3333333333333333,11,0.09090909090909091,0.5454545454545454,0.6363636363636364
by_model_id,13,5,4,0.8,1,0.2,0.25,12,0.08333333333333333,0.5833333333333334,0.6666666666666666
by_model_id,14,2,2,1.0,1,0.5,0.5,5,0.2,0.8,0.8
by_model_id,16,1,0,0.0,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_model_id,17,6,5,0.8333333333333334,0,0.0,0.0,23,0.43478260869565216,0.4782608695652174,0.5652173913043478
by_model_id,2,10,9,0.9,1,0.1,0.1111111111111111,36,0.3611111111111111,0.4722222222222222,0.5833333333333334
by_model_id,21,10,10,1.0,3,0.3,0.3,7,0.0,0.0,0.0
by_model_id,29,10,9,0.9,0,0.0,0.0,35,0.34285714285714286,0.42857142857142855,0.5428571428571428
by_model_id,33,8,7,0.875,0,0.0,0.0,29,0.3448275862068966,0.4482758620689655,0.5517241379310345
by_model_id,41,7,6,0.8571428571428571,5,0.7142857142857143,0.8333333333333334,12,0.4166666666666667,0.6666666666666666,0.6666666666666666
by_model_id,42,11,8,0.7272727272727273,5,0.45454545454545453,0.625,26,0.2692307692307692,0.46153846153846156,0.5769230769230769
by_model_id,43,6,4,0.6666666666666666,2,0.3333333333333333,0.5,17,0.29411764705882354,0.47058823529411764,0.5882352941176471
by_model_id,47,4,1,0.25,0,0.0,0.0,13,0.15384615384615385,0.38461538461538464,0.46153846153846156
by_model_id,49,1,1,1.0,0,0.0,0.0,5,0.2,0.2,0.2
by_model_id,52,5,3,0.6,0,0.0,0.0,14,0.5714285714285714,0.6428571428571429,0.7857142857142857
by_model_id,53,8,7,0.875,1,0.125,0.14285714285714285,22,0.3181818181818182,0.5,0.6818181818181818
by_model_id,54,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,56,13,8,0.6153846153846154,2,0.15384615384615385,0.25,32,0.40625,0.5625,0.65625
by_model_id,62,10,5,0.5,2,0.2,0.4,21,0.38095238095238093,0.5714285714285714,0.6190476190476191
by_model_id,63,16,11,0.6875,4,0.25,0.36363636363636365,44,0.36363636363636365,0.5227272727272727,0.5909090909090909
by_model_id,65,9,7,0.7777777777777778,4,0.4444444444444444,0.5714285714285714,20,0.3,0.55,0.6
by_model_id,66,8,6,0.75,4,0.5,0.6666666666666666,20,0.3,0.55,0.6
by_model_id,68,4,1,0.25,1,0.25,1.0,3,0.3333333333333333,0.6666666666666666,0.6666666666666666
by_model_id,70,1,0,0.0,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_model_id,75,2,2,1.0,0,0.0,0.0,1,0.0,1.0,1.0
by_model_id,76,2,2,1.0,2,1.0,1.0,5,0.2,0.6,0.6
by_model_id,77,2,1,0.5,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_model_id,78,4,2,0.5,1,0.25,0.5,2,0.5,0.5,0.5
by_model_id,79,16,11,0.6875,5,0.3125,0.45454545454545453,37,0.32432432432432434,0.5675675675675675,0.6486486486486487
by_model_id,9,9,8,0.8888888888888888,0,0.0,0.0,28,0.21428571428571427,0.32142857142857145,0.42857142857142855
