group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,50,43,0.86,13,0.26,0.3023255813953488,90,0.23333333333333334,0.4,0.5111111111111111
by_curve_type,Circle,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Ellipse,16,12,0.75,5,0.3125,0.4166666666666667,24,0.125,0.5,0.6666666666666666
by_curve_type,Hyperbola,20,20,1.0,7,0.35,0.35,25,0.12,0.2,0.28
by_curve_type,Other,1,0,0.0,0,0.0,0.0,2,0.5,0.5,0.5
by_curve_type,Parabola,12,10,0.8333333333333334,1,0.08333333333333333,0.1,39,0.358974358974359,0.46153846153846156,0.5641025641025641
by_query_type,Coordinate,2,1,0.5,1,0.5,1.0,9,0.2222222222222222,0.5555555555555556,0.6666666666666666
by_query_type,Distance,5,4,0.8,0,0.0,0.0,9,0.4444444444444444,0.6666666666666666,0.7777777777777778
by_query_type,Eccentricity,11,10,0.9090909090909091,1,0.09090909090909091,0.1,11,0.09090909090909091,0.18181818181818182,0.2727272727272727
by_query_type,Equation,9,9,1.0,6,0.6666666666666666,0.6666666666666666,12,0.08333333333333333,0.16666666666666666,0.4166666666666667
by_query_type,Length,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_query_type,Range,4,4,1.0,2,0.5,0.5,7,0.2857142857142857,0.7142857142857143,0.7142857142857143
by_query_type,Value,18,15,0.8333333333333334,3,0.16666666666666666,0.2,42,0.2619047619047619,0.38095238095238093,0.47619047619047616
by_failure_reason,answer_mismatch,30,30,1.0,0,0.0,0.0,57,0.21052631578947367,0.3508771929824561,0.47368421052631576
by_failure_reason,max_steps,3,0,0.0,0,0.0,0.0,9,0.3333333333333333,0.5555555555555556,0.6666666666666666
by_failure_reason,no_model,4,0,0.0,0,0.0,0.0,5,0.4,0.6,0.6
by_model_id,0,16,10,0.625,5,0.3125,0.5,23,0.2608695652173913,0.4782608695652174,0.6521739130434783
