group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,50,43,0.86,13,0.26,0.3023255813953488,87,0.22988505747126436,0.41379310344827586,0.5402298850574713
by_curve_type,Circle,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Ellipse,16,12,0.75,5,0.3125,0.4166666666666667,23,0.13043478260869565,0.5217391304347826,0.6956521739130435
by_curve_type,Hyperbola,20,20,1.0,7,0.35,0.35,23,0.13043478260869565,0.2608695652173913,0.34782608695652173
by_curve_type,Other,1,0,0.0,0,0.0,0.0,2,0.0,0.0,0.5
by_curve_type,Parabola,12,10,0.8333333333333334,1,0.08333333333333333,0.1,39,0.358974358974359,0.46153846153846156,0.5641025641025641
by_query_type,Coordinate,2,1,0.5,1,0.5,1.0,9,0.2222222222222222,0.5555555555555556,0.6666666666666666
by_query_type,Distance,5,4,0.8,0,0.0,0.0,8,0.5,0.75,0.875
by_query_type,Eccentricity,11,10,0.9090909090909091,1,0.09090909090909091,0.1,11,0.09090909090909091,0.18181818181818182,0.2727272727272727
by_query_type,Equation,9,9,1.0,6,0.6666666666666666,0.6666666666666666,10,0.1,0.2,0.5
by_query_type,Length,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_query_type,Range,4,4,1.0,2,0.5,0.5,7,0.2857142857142857,0.7142857142857143,0.7142857142857143
by_query_type,Value,18,15,0.8333333333333334,3,0.16666666666666666,0.2,42,0.23809523809523808,0.38095238095238093,0.5
by_failure_reason,answer_mismatch,30,30,1.0,0,0.0,0.0,56,0.21428571428571427,0.35714285714285715,0.48214285714285715
by_failure_reason,max_steps,1,0,0.0,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_failure_reason,no_model,6,0,0.0,0,0.0,0.0,8,0.5,0.625,0.75
by_model_id,0,12,8,0.6666666666666666,4,0.3333333333333333,0.5,16,0.125,0.375,0.625
by_model_id,1,8,8,1.0,2,0.25,0.25,9,0.1111111111111111,0.2222222222222222,0.4444444444444444
by_model_id,11,5,4,0.8,1,0.2,0.25,12,0.08333333333333333,0.5833333333333334,0.6666666666666666
by_model_id,13,4,3,0.75,1,0.25,0.3333333333333333,11,0.09090909090909091,0.5454545454545454,0.6363636363636364
by_model_id,14,2,2,1.0,1,0.5,0.5,5,0.2,0.8,0.8
by_model_id,16,1,0,0.0,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_model_id,17,9,8,0.8888888888888888,0,0.0,0.0,34,0.3235294117647059,0.4117647058823529,0.5294117647058824
by_model_id,2,10,9,0.9,1,0.1,0.1111111111111111,37,0.35135135135135137,0.4594594594594595,0.5675675675675675
by_model_id,21,10,10,1.0,3,0.3,0.3,7,0.0,0.0,0.0
by_model_id,29,10,9,0.9,0,0.0,0.0,36,0.3333333333333333,0.4166666666666667,0.5277777777777778
by_model_id,33,7,6,0.8571428571428571,0,0.0,0.0,27,0.3333333333333333,0.4074074074074074,0.5185185185185185
by_model_id,41,8,7,0.875,5,0.625,0.7142857142857143,14,0.42857142857142855,0.6428571428571429,0.6428571428571429
by_model_id,42,12,8,0.6666666666666666,5,0.4166666666666667,0.625,29,0.3448275862068966,0.5172413793103449,0.6206896551724138
by_model_id,43,7,5,0.7142857142857143,2,0.2857142857142857,0.4,19,0.3157894736842105,0.47368421052631576,0.5789473684210527
by_model_id,47,3,1,0.3333333333333333,0,0.0,0.0,10,0.1,0.3,0.4
by_model_id,49,1,1,1.0,0,0.0,0.0,5,0.2,0.2,0.2
by_model_id,52,7,5,0.7142857142857143,0,0.0,0.0,19,0.47368421052631576,0.5263157894736842,0.631578947368421
by_model_id,53,8,7,0.875,1,0.125,0.14285714285714285,23,0.30434782608695654,0.4782608695652174,0.6521739130434783
by_model_id,56,14,9,0.6428571428571429,2,0.14285714285714285,0.2222222222222222,37,0.3783783783783784,0.5135135135135135,0.5945945945945946
by_model_id,62,14,9,0.6428571428571429,2,0.14285714285714285,0.2222222222222222,36,0.2777777777777778,0.4444444444444444,0.5277777777777778
by_model_id,63,19,14,0.7368421052631579,4,0.21052631578947367,0.2857142857142857,55,0.3090909090909091,0.4727272727272727,0.5636363636363636
by_model_id,65,11,8,0.7272727272727273,4,0.36363636363636365,0.5,26,0.38461538461538464,0.6153846153846154,0.6538461538461539
by_model_id,66,10,7,0.7,4,0.4,0.5714285714285714,23,0.391304347826087,0.6086956521739131,0.6521739130434783
by_model_id,68,4,1,0.25,1,0.25,1.0,3,0.3333333333333333,0.6666666666666666,0.6666666666666666
by_model_id,70,1,0,0.0,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_model_id,75,2,2,1.0,0,0.0,0.0,1,0.0,1.0,1.0
by_model_id,76,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,77,2,1,0.5,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_model_id,78,4,2,0.5,1,0.25,0.5,2,0.5,0.5,0.5
by_model_id,79,16,11,0.6875,5,0.3125,0.45454545454545453,37,0.32432432432432434,0.5675675675675675,0.6486486486486487
by_model_id,9,9,8,0.8888888888888888,0,0.0,0.0,29,0.20689655172413793,0.3103448275862069,0.41379310344827586
