group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,50,30,0.6,11,0.22,0.36666666666666664,60,0.0,0.05,0.25
by_curve_type,Circle,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Ellipse,16,10,0.625,5,0.3125,0.5,12,0.0,0.0,1.0
by_curve_type,Hyperbola,20,17,0.85,5,0.25,0.29411764705882354,13,0.0,0.0,0.0
by_curve_type,Other,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Parabola,12,3,0.25,1,0.08333333333333333,0.3333333333333333,35,0.0,0.08571428571428572,0.08571428571428572
by_query_type,Coordinate,2,1,0.5,1,0.5,1.0,2,0.0,0.0,0.5
by_query_type,Distance,5,0,0.0,0,0.0,0.0,8,0.0,0.125,0.25
by_query_type,Eccentricity,11,10,0.9090909090909091,1,0.09090909090909091,0.1,8,0.0,0.0,0.125
by_query_type,Equation,9,7,0.7777777777777778,7,0.7777777777777778,1.0,10,0.0,0.0,0.3
by_query_type,Length,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_query_type,Range,4,3,0.75,1,0.25,0.3333333333333333,2,0.0,0.0,1.0
by_query_type,Value,18,9,0.5,1,0.05555555555555555,0.1111111111111111,30,0.0,0.06666666666666667,0.2
by_failure_reason,answer_mismatch,19,19,1.0,0,0.0,0.0,23,0.0,0.043478260869565216,0.2608695652173913
by_failure_reason,max_steps,8,0,0.0,0,0.0,0.0,24,0.0,0.08333333333333333,0.08333333333333333
by_failure_reason,no_model,12,0,0.0,0,0.0,0.0,4,0.0,0.0,0.75
by_model_id,0,16,10,0.625,5,0.3125,0.5,12,0.0,0.0,1.0
by_model_id,1,18,18,1.0,6,0.3333333333333333,0.3333333333333333,13,0.0,0.0,0.0
by_model_id,2,11,3,0.2727272727272727,1,0.09090909090909091,0.3333333333333333,35,0.0,0.08571428571428572,0.08571428571428572
by_model_id,9,10,2,0.2,0,0.0,0.0,33,0.0,0.09090909090909091,0.09090909090909091
