group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,10,8,0.8,2,0.2,0.25,15,0.26666666666666666,0.3333333333333333,0.4
by_curve_type,Circle,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Ellipse,1,1,1.0,1,1.0,1.0,1,0.0,1.0,1.0
by_curve_type,Hyperbola,4,4,1.0,1,0.25,0.25,6,0.16666666666666666,0.16666666666666666,0.3333333333333333
by_curve_type,Other,1,0,0.0,0,0.0,0.0,2,0.5,0.5,0.5
by_curve_type,Parabola,3,2,0.6666666666666666,0,0.0,0.0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_query_type,Eccentricity,3,3,1.0,0,0.0,0.0,6,0.16666666666666666,0.16666666666666666,0.3333333333333333
by_query_type,Equation,2,2,1.0,1,0.5,0.5,0,0.0,0.0,0.0
by_query_type,Length,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_query_type,Range,1,1,1.0,1,1.0,1.0,1,0.0,1.0,1.0
by_query_type,Value,3,2,0.6666666666666666,0,0.0,0.0,8,0.375,0.375,0.375
by_failure_reason,answer_mismatch,6,6,1.0,0,0.0,0.0,12,0.25,0.25,0.3333333333333333
by_failure_reason,max_steps,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_failure_reason,no_model,1,0,0.0,0,0.0,0.0,2,0.5,0.5,0.5
by_model_id,0,3,1,0.3333333333333333,0,0.0,0.0,4,0.5,0.5,0.5
by_model_id,1,1,1,1.0,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,11,4,2,0.5,0,0.0,0.0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_model_id,12,2,2,1.0,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,13,1,1,1.0,1,1.0,1.0,1,0.0,1.0,1.0
by_model_id,14,1,1,1.0,1,1.0,1.0,1,0.0,1.0,1.0
by_model_id,17,1,1,1.0,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,2,1,1,1.0,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,21,1,1,1.0,0,0.0,0.0,1,0.0,0.0,0.0
by_model_id,29,2,2,1.0,0,0.0,0.0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_model_id,33,1,1,1.0,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,41,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,42,2,1,0.5,0,0.0,0.0,2,0.5,0.5,0.5
by_model_id,43,2,1,0.5,0,0.0,0.0,2,0.5,0.5,0.5
by_model_id,47,1,1,1.0,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,5,3,3,1.0,0,0.0,0.0,10,0.3,0.3,0.3
by_model_id,52,4,2,0.5,0,0.0,0.0,4,0.5,0.5,0.5
by_model_id,53,2,1,0.5,0,0.0,0.0,2,0.5,0.5,0.5
by_model_id,54,1,0,0.0,0,0.0,0.0,2,0.5,0.5,0.5
by_model_id,55,1,0,0.0,0,0.0,0.0,2,0.5,0.5,0.5
by_model_id,56,5,3,0.6,0,0.0,0.0,8,0.375,0.375,0.375
by_model_id,57,1,1,1.0,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,62,3,2,0.6666666666666666,0,0.0,0.0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_model_id,63,6,4,0.6666666666666666,0,0.0,0.0,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_model_id,65,4,2,0.5,0,0.0,0.0,4,0.5,0.5,0.5
by_model_id,66,5,3,0.6,0,0.0,0.0,8,0.375,0.375,0.375
by_model_id,7,3,2,0.6666666666666666,1,0.3333333333333333,0.5,1,0.0,0.0,1.0
by_model_id,70,1,1,1.0,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,75,3,3,1.0,1,0.3333333333333333,0.3333333333333333,3,0.3333333333333333,0.6666666666666666,0.6666666666666666
by_model_id,76,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,77,2,1,0.5,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,78,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,79,5,3,0.6,1,0.2,0.3333333333333333,5,0.4,0.6,0.6
