group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
overall,all,10,6,0.6,2,0.2,0.3333333333333333,10,0.0,0.0,0.1
by_curve_type,Circle,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Ellipse,1,1,1.0,1,1.0,1.0,1,0.0,0.0,1.0
by_curve_type,Hyperbola,4,4,1.0,1,0.25,0.25,3,0.0,0.0,0.0
by_curve_type,Other,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_curve_type,Parabola,3,1,0.3333333333333333,0,0.0,0.0,6,0.0,0.0,0.0
by_query_type,Eccentricity,3,3,1.0,0,0.0,0.0,3,0.0,0.0,0.0
by_query_type,Equation,2,1,0.5,1,0.5,1.0,0,0.0,0.0,0.0
by_query_type,Length,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_query_type,Range,1,1,1.0,1,1.0,1.0,1,0.0,0.0,1.0
by_query_type,Value,3,1,0.3333333333333333,0,0.0,0.0,6,0.0,0.0,0.0
by_failure_reason,answer_mismatch,4,4,1.0,0,0.0,0.0,7,0.0,0.0,0.0
by_failure_reason,max_steps,2,0,0.0,0,0.0,0.0,2,0.0,0.0,0.0
by_failure_reason,no_model,2,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,0,1,1,1.0,1,1.0,1.0,1,0.0,0.0,1.0
by_model_id,1,4,4,1.0,1,0.25,0.25,3,0.0,0.0,0.0
by_model_id,2,2,1,0.5,0,0.0,0.0,6,0.0,0.0,0.0
by_model_id,9,3,1,0.3333333333333333,0,0.0,0.0,6,0.0,0.0,0.0
