# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 （这里提供了一部分样本[2]~[2520]）
# 格式：[样本ID] 推理过程

[2] 双曲线\frac{x^{2}}{4}-\frac{y^{2}}{m2}=1(m>0)的渐近线方程为y=\pm\frac{m}{2}x直线5x-2y=0的方程可化为y=\frac{5}{2}x,所以,m=5.

[4] 双曲线的焦点F到渐近线的距离为b,由AF\botx轴得\frac{b^{2}}{a}=b'a=b,所以c=\sqrt{a^{2}+b^{2}}=\sqrt{2}ae=\frac{c}{a}=\sqrt{2}.

[5] \because抛物线x^{2}=ay过点A(1,\frac{1}{4}),\therefore1^{2}=a\times\frac{1}{4},解得a=4.因此抛物线的方程为x^{2}=4y,得到其焦点为F(0,1),准线方程为y=-1\because抛物线上的点到焦点的距离等于该点到抛物线准线的距离,\therefore点A到此抛物线的焦点的距离为y_{4}-(-1)=\frac{1}{4}+1=\frac{5}{4}

[6] 由条件可知a^{2}=3,b^{2}=1,所以虚轴长2b=2

[7] 因为椭圆\frac{x^{2}}{m}+\frac{y^{2}}{4}=1的焦点在x轴上,焦距为2所以m>4,且m=4+(\frac{2}{2})^{2}=5,所以实数m的值为5.

[9] 由椭圆方程知椭圆焦点为:(\pm4,0),\therefore7+t=16,解得:t=9.

[11] 设A(\frac{1}{4}m^{2},m),C:(x-4)^{2}+y^{2}=1圆心坐标C(4,0),\therefore|AC|^{2}=(\frac{1}{4}m^{2}-4)^{2}+m^{2}=\frac{1}{16}(m^{2}-8)^{2}+12\geqslant12'\therefore|AC|\geqslant2\sqrt{3}\becauseB是圆(x-4)^{2}+y^{2}=1上任意一点\therefore|AB|的最小值为2\sqrt{3}-1,由\overrightarrow{AB}=\lambda\overrightarrow{BC}可得|\overrightarrow{AB}|=||||\overrightarrow{BC}|=|\lambda|,\therefore|\lambda|的最小值即为|AB|最小值为2\sqrt{3}-1,

[13] 设APF_{1}F_{2}的内切圆的半径为r,由双曲线的定义得|PF_{1}|-|PF_{2}|=2a,|F_{1}F_{2}|=2c.\frac{S_{AHPF_{1}}}{2}|PF_{1}|\cdotr=\frac{1}{2}|PF_{2}|\cdotr+\lambdacr,所以\lambda=\frac{|PF_{1}-|PF_{2}^{1}|}{2c}=\frac{a}{c},因为|F_{1}F_{2}|=\frac{b^{2}}{a},所以\frac{-a^{2}}{a},所以(\frac{a}{c})^{2}+\frac{2a}{c}-1=0,所以\frac{a}{c}=\sqrt{2}-1,即\lambda=\sqrt{2}-1.育单的几何性质的应用.【方法点晴】本题主要考查了双曲线的定义、标准方程及其简单的几何性质的应用,同时考查了三角形的面积的计算与内切圆的性质,其中利用三角形的内切圆的性质,表示出AIF_{1}F_{2},AIPF_{1},AIPF_{2}的面积,利用关系式,求出\lambda的表达式是解答的关键,若重考查了学生分析问题、解答问题的能力,属于中档试题.

[14] 由题意可知,双曲线的通径为:\frac{2b^{2}}{a}因为过焦点F_{2}且垂直于x轴的弦为AB,若\angleAF_{1}B=90^{\circ},所以2c=\frac{b^{2}}{a}所以2ca=c^{2}-a^{2},由于e=\frac{c}{a}所以e^{2}-2e-1=0,解得e=1\pm\sqrt{2}因为e>1,所以e=1+\sqrt{2}

