# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 （这里提供了一部分样本[5008]~[7756]）
# 格式：[样本ID] 推理过程

[5008] 解析过程略

[5010] 曲线C:|x^{2}-y^{2}-1|=1化简为x^{2}-y^{2}=0即y=\pmx,或x^{2}-y^{2}=2,所以曲线C表示两题相交直线与双曲线,曲线C与直线l由4个交点,所以与两直线y=\pmx有两个交点.只需k\neq\pm1,直线l与双曲线x^{2}-y^{2}=2有两个交点,联立\begin{cases}y=kx-1\\x^{2}-y^{2}=2\end{cases}消去y得,(1-k^{2})x^{2}+2kx-3=0,方程有两个解须\begin{cases}k^{2}-1\neq0\\4=4k^{2}-12(1-k^{2})>0\end{cases}解得-\frac{\sqrt{6}}{2}<k<\frac{\sqrt{6}}{2}且k\neq\pm1,所以所求的k的取值范围是(-\frac{\sqrt{6}}{2},-1)\cup(

[5011] 先设直线AB为y=\frac{1}{2}x+b,然后代入到椭圆方程中消去x得到关于y的一元二次方程,进而可表示出A、B两点的纵坐标的和,进而可表示出M的坐标,然后结合AB的中点M(m,\frac{1}{2}),可确定答案.羊解】设直线AB为:y=\frac{1}{2}x+b,代入椭圆方程\frac{x^{2}}{4}+\frac{y^{2}}{3}=1得到:4y^{2}-6by+3b^{2}-3=0,y_{A}+y_{B}=\frac{3}{2}b,y_{M}=\frac{1}{2}(y_{A}+y_{B})=\frac{3}{4}b=\frac{1}{2},所以b=\frac{2}{3},直线AB为:y=\frac{1}{2}x+\frac{2}{3},AB的中点M(m,\frac{1}{2})可得\frac{1}{2}=\frac{1}{2}m+\frac{2}{3},\thereforem=-\frac{1}{3},

[5012] 由椭圆的标准方程求得椭圆的c,可求得椭圆的左焦点坐标.根据椭圆\frac{x^{2}}{2}+y2=1的标准方程得a^{2}=2,b^{2}=1,\thereforec^{2}=1,\thereforec=1,所以左焦点的坐标为(-1,0)

[5013] 如图:过点P作PH垂直准线于H,则|PH|=|PF|,由\overrightarrow{FM}=3\overrightarrow{FP}有\frac{|MP|}{|MF|}=\frac{2}{3}由三角形相似得\frac{|PH|}{P}=\frac{|PH|}{4}=\frac{|MP|}{|MF|}=\frac{2}{3}所以|PH|=\frac{8}{3},所以|\overrightarrow{FP}|=\frac{8}{3}.

[5014] 由题意,|PF_{2}|-|PF_{1}|=2,|QF_{2}|-|QF_{1}|=2.\because|PF_{1}|+|QF_{1}|=|PQ|=4,\therefore|PF_{2}|+|QF_{2}|-4=4,\therefore|PF_{2}|+|QF_{2}|=8\therefore\trianglePF_{2}Q的周长是|PF_{2}|+|QF_{2}|+|PQ|=8+4=12.
